,State,County,PM2.5,Date,total_confirmed_cases,Deaths,Recovered,Active
228,Maine,Oxford,3.8,Apr 4,11,0,0,0
229,Maine,Oxford,6.5,Apr 5,11,0,0,0
230,Maine,Oxford,3.0,Apr 6,11,0,0,0
231,Maine,Oxford,4.5,Apr 7,12,0,0,0
232,Maine,Oxford,5.2,Apr 8,12,0,0,0
233,Maine,Oxford,3.5,Apr 9,12,0,0,0
234,Maine,Penobscot,5.2,Mar 23,3,0,0,0
235,Maine,Penobscot,2.7,Mar 24,4,0,0,0
236,Maine,Penobscot,6.1,Mar 25,4,0,0,0
237,Maine,Penobscot,4.2,Mar 26,5,0,0,0
238,Maine,Penobscot,3.3,Mar 27,6,0,0,0
239,Maine,Penobscot,3.0,Mar 28,10,0,0,0
240,Maine,Penobscot,5.5,Mar 29,11,0,0,0
241,Maine,Penobscot,1.8,Mar 30,12,0,0,0
242,Maine,Penobscot,1.9,Mar 31,12,0,0,0
243,Maine,Penobscot,0.6,Apr 1,12,0,0,0
244,Maine,Penobscot,-0.2,Apr 2,16,0,0,0
245,Maine,Penobscot,1.6,Apr 3,20,0,0,0
246,Maine,Penobscot,2.8,Apr 4,22,0,0,0
247,Maine,Penobscot,3.8,Apr 5,22,0,0,0
248,Maine,Penobscot,2.4,Apr 6,25,0,0,0
249,Maine,Penobscot,2.7,Apr 7,31,0,0,0
250,Maine,Penobscot,2.7,Apr 8,31,0,0,0
251,Maine,Penobscot,1.5,Apr 9,31,0,0,0
252,Massachusetts,Berkshire,5.45,Mar 23,26,0,0,0
253,Massachusetts,Berkshire,6.35,Mar 24,37,0,0,0
254,Massachusetts,Berkshire,7.95,Mar 25,71,0,0,0
255,Massachusetts,Berkshire,8.7,Mar 26,73,0,0,0
256,Massachusetts,Berkshire,6.75,Mar 27,105,2,0,0
257,Massachusetts,Berkshire,8.6,Mar 28,119,2,0,0
258,Massachusetts,Berkshire,2.45,Mar 29,151,3,0,0
259,Massachusetts,Berkshire,3.4,Mar 30,162,3,0,0
260,Massachusetts,Berkshire,4.3,Mar 31,171,4,0,0
261,Massachusetts,Berkshire,5.4,Apr 1,183,4,0,0
262,Massachusetts,Berkshire,2.75,Apr 2,213,5,0,0
263,Massachusetts,Berkshire,2.75,Apr 3,240,5,0,0
264,Massachusetts,Berkshire,4.5,Apr 4,253,8,0,0
265,Massachusetts,Berkshire,5.75,Apr 5,258,11,0,0
266,Massachusetts,Berkshire,4.05,Apr 6,268,11,0,0
267,Massachusetts,Berkshire,5.95,Apr 7,278,16,0,0
268,Massachusetts,Berkshire,5.3,Apr 8,281,18,0,0
269,Massachusetts,Berkshire,4.65,Apr 9,304,18,0,0
270,Massachusetts,Bristol,9.0,Mar 23,25,0,0,0
271,Massachusetts,Bristol,8.1,Mar 24,31,0,0,0
272,Massachusetts,Bristol,11.0,Mar 25,67,0,0,0
273,Massachusetts,Bristol,11.2,Mar 26,90,0,0,0
274,Massachusetts,Bristol,10.8,Mar 27,129,1,0,0
275,Massachusetts,Bristol,11.2,Mar 28,179,1,0,0
276,Massachusetts,Bristol,7.8,Mar 29,208,1,0,0
277,Massachusetts,Bristol,7.4,Mar 30,263,2,0,0
278,Massachusetts,Bristol,8.4,Mar 31,306,2,0,0
279,Massachusetts,Bristol,8.2,Apr 1,366,3,0,0
280,Massachusetts,Bristol,7.2,Apr 2,424,3,0,0
281,Massachusetts,Bristol,6.5,Apr 3,517,4,0,0
282,Massachusetts,Bristol,10.5,Apr 4,601,5,0,0
283,Massachusetts,Bristol,10.5,Apr 5,659,8,0,0
284,Massachusetts,Bristol,10.2,Apr 6,722,8,0,0
285,Massachusetts,Bristol,9.8,Apr 7,768,16,0,0
286,Massachusetts,Bristol,11.4,Apr 8,835,23,0,0
287,Massachusetts,Bristol,10.2,Apr 9,994,23,0,0
288,Massachusetts,Essex,3.5,Mar 23,73,0,0,0
289,Massachusetts,Essex,2.95,Mar 24,118,0,0,0
290,Massachusetts,Essex,4.85,Mar 25,177,0,0,0
291,Massachusetts,Essex,5.85,Mar 26,247,2,0,0
292,Massachusetts,Essex,4.25,Mar 27,350,2,0,0
293,Massachusetts,Essex,5.85,Mar 28,472,3,0,0
294,Massachusetts,Essex,4.3,Mar 29,570,4,0,0
295,Massachusetts,Essex,2.4,Mar 30,653,6,0,0
296,Massachusetts,Essex,3.95,Mar 31,784,12,0,0
297,Massachusetts,Essex,3.0,Apr 1,885,17,0,0
298,Massachusetts,Essex,3.7,Apr 2,1039,18,0,0
299,Massachusetts,Essex,4.3,Apr 3,1238,23,0,0
300,Massachusetts,Essex,5.25,Apr 4,1400,25,0,0
301,Massachusetts,Essex,7.2,Apr 5,1506,27,0,0
302,Massachusetts,Essex,3.65,Apr 6,1653,29,0,0
303,Massachusetts,Essex,1.7,Apr 7,1841,35,0,0
304,Massachusetts,Essex,5.2,Apr 8,2103,50,0,0
305,Massachusetts,Essex,3.0,Apr 9,2336,50,0,0
306,Massachusetts,Franklin,6.6,Mar 23,6,0,0,0
307,Massachusetts,Franklin,5.9,Mar 24,10,0,0,0
308,Massachusetts,Franklin,8.9,Mar 25,14,0,0,0
309,Massachusetts,Franklin,8.2,Mar 26,16,1,0,0
310,Massachusetts,Franklin,7.7,Mar 27,24,2,0,0
311,Massachusetts,Franklin,9.2,Mar 28,39,2,0,0
312,Massachusetts,Franklin,5.8,Mar 29,41,2,0,0
313,Massachusetts,Franklin,5.2,Mar 30,49,2,0,0
314,Massachusetts,Franklin,6.5,Mar 31,61,4,0,0
315,Massachusetts,Franklin,6.1,Apr 1,72,7,0,0
316,Massachusetts,Franklin,3.9,Apr 2,85,8,0,0
317,Massachusetts,Franklin,4.2,Apr 3,89,11,0,0
318,Massachusetts,Franklin,6.0,Apr 4,95,12,0,0
319,Massachusetts,Franklin,11.6,Apr 5,100,12,0,0
320,Massachusetts,Franklin,6.6,Apr 6,107,13,0,0
321,Massachusetts,Franklin,6.1,Apr 7,118,17,0,0
322,Massachusetts,Franklin,7.5,Apr 8,117,21,0,0
323,Massachusetts,Franklin,5.8,Apr 9,128,21,0,0
324,Massachusetts,Hampden,5.4,Mar 23,15,0,0,0
325,Massachusetts,Hampden,4.25,Mar 24,24,0,0,0
326,Massachusetts,Hampden,7.9,Mar 25,45,0,0,0
327,Massachusetts,Hampden,6.5,Mar 26,55,1,0,0
328,Massachusetts,Hampden,6.95,Mar 27,90,1,0,0
329,Massachusetts,Hampden,9.85,Mar 28,183,4,0,0
330,Massachusetts,Hampden,4.55,Mar 29,201,4,0,0
331,Massachusetts,Hampden,4.3,Mar 30,255,4,0,0
332,Massachusetts,Hampden,6.05,Mar 31,354,11,0,0
333,Massachusetts,Hampden,5.75,Apr 1,475,16,0,0
334,Massachusetts,Hampden,3.65,Apr 2,546,19,0,0
335,Massachusetts,Hampden,3.4,Apr 3,661,27,0,0
336,Massachusetts,Hampden,4.9,Apr 4,733,34,0,0
337,Massachusetts,Hampden,8.9,Apr 5,768,34,0,0
338,Massachusetts,Hampden,5.4,Apr 6,889,38,0,0
339,Massachusetts,Hampden,5.0,Apr 7,997,55,0,0
340,Massachusetts,Hampden,6.6,Apr 8,1081,62,0,0
341,Massachusetts,Hampden,7.2,Apr 9,1276,62,0,0
342,Massachusetts,Hampshire,9.9,Mar 23,6,0,0,0
343,Massachusetts,Hampshire,6.9,Mar 24,8,0,0,0
344,Massachusetts,Hampshire,9.2,Mar 25,11,0,0,0
345,Massachusetts,Hampshire,,Mar 26,17,0,0,0
346,Massachusetts,Hampshire,,Mar 27,20,0,0,0
347,Massachusetts,Hampshire,,Mar 28,30,0,0,0
348,Massachusetts,Hampshire,,Mar 29,37,0,0,0
349,Massachusetts,Hampshire,,Mar 30,46,0,0,0
350,Massachusetts,Hampshire,,Mar 31,69,1,0,0
351,Massachusetts,Hampshire,,Apr 1,81,1,0,0
352,Massachusetts,Hampshire,,Apr 2,102,2,0,0
353,Massachusetts,Hampshire,,Apr 3,114,3,0,0
354,Massachusetts,Hampshire,,Apr 4,125,3,0,0
355,Massachusetts,Hampshire,,Apr 5,128,3,0,0
356,Massachusetts,Hampshire,,Apr 6,147,3,0,0
357,Massachusetts,Hampshire,,Apr 7,158,3,0,0
358,Massachusetts,Hampshire,,Apr 8,164,3,0,0
359,Massachusetts,Hampshire,,Apr 9,177,3,0,0
360,Massachusetts,Middlesex,5.0,Mar 23,232,1,0,0
361,Massachusetts,Middlesex,4.2,Mar 24,304,1,0,0
362,Massachusetts,Middlesex,6.6,Mar 25,446,1,0,0
363,Massachusetts,Middlesex,7.0,Mar 26,538,4,0,0
364,Massachusetts,Middlesex,5.6,Mar 27,685,5,0,0
365,Massachusetts,Middlesex,8.6,Mar 28,842,5,0,0
