"Date","Source","Site ID","POC","Daily Max 1-hour NO2 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"02/09/2020","AQS","230050029","1","38.4","ppb","36","PDO - Portland Deering Oaks","24","100.0000","42602","Nitrogen dioxide (NO2)","38860","Portland-South Portland, ME","23","Maine","005","Cumberland","43.660246","-70.268965"
"02/10/2020","AQS","230050029","1","29","ppb","27","PDO - Portland Deering Oaks","20","83.0000","42602","Nitrogen dioxide (NO2)","38860","Portland-South Portland, ME","23","Maine","005","Cumberland","43.660246","-70.268965"
"02/11/2020","AQS","230050029","1","27.9","ppb","25","PDO - Portland Deering Oaks","24","100.0000","42602","Nitrogen dioxide (NO2)","38860","Portland-South Portland, ME","23","Maine","005","Cumberland","43.660246","-70.268965"
"02/12/2020","AQS","230050029","1","20.4","ppb","19","PDO - Portland Deering Oaks","24","100.0000","42602","Nitrogen dioxide (NO2)","38860","Portland-South Portland, ME","23","Maine","005","Cumberland","43.660246","-70.268965"
"02/13/2020","AQS","230050029","1","23","ppb","22","PDO - Portland Deering Oaks","24","100.0000","42602","Nitrogen dioxide (NO2)","38860","Portland-South Portland, ME","23","Maine","005","Cumberland","43.660246","-70.268965"
"02/14/2020","AQS","230050029","1","11.6","ppb","10","PDO - Portland Deering Oaks","24","100.0000","42602","Nitrogen dioxide (NO2)","38860","Portland-South Portland, ME","23","Maine","005","Cumberland","43.660246","-70.268965"
"02/15/2020","AQS","230050029","1","19.1","ppb","18","PDO - Portland Deering Oaks","24","100.0000","42602","Nitrogen dioxide (NO2)","38860","Portland-South Portland, ME","23","Maine","005","Cumberland","43.660246","-70.268965"
"02/16/2020","AQS","230050029","1","25.1","ppb","24","PDO - Portland Deering Oaks","24","100.0000","42602","Nitrogen dioxide (NO2)","38860","Portland-South Portland, ME","23","Maine","005","Cumberland","43.660246","-70.268965"
"02/17/2020","AQS","230050029","1","29.3","ppb","27","PDO - Portland Deering Oaks","24","100.0000","42602","Nitrogen dioxide (NO2)","38860","Portland-South Portland, ME","23","Maine","005","Cumberland","43.660246","-70.268965"
"02/18/2020","AQS","230050029","1","17.4","ppb","16","PDO - Portland Deering Oaks","24","100.0000","42602","Nitrogen dioxide (NO2)","38860","Portland-South Portland, ME","23","Maine","005","Cumberland","43.660246","-70.268965"
"02/19/2020","AQS","230050029","1","15.1","ppb","14","PDO - Portland Deering Oaks","24","100.0000","42602","Nitrogen dioxide (NO2)","38860","Portland-South Portland, ME","23","Maine","005","Cumberland","43.660246","-70.268965"
"02/20/2020","AQS","230050029","1","15.6","ppb","14","PDO - Portland Deering Oaks","24","100.0000","42602","Nitrogen dioxide (NO2)","38860","Portland-South Portland, ME","23","Maine","005","Cumberland","43.660246","-70.268965"
"02/21/2020","AQS","230050029","1","19.5","ppb","18","PDO - Portland Deering Oaks","23","96.0000","42602","Nitrogen dioxide (NO2)","38860","Portland-South Portland, ME","23","Maine","005","Cumberland","43.660246","-70.268965"
"02/22/2020","AQS","230050029","1","18.6","ppb","17","PDO - Portland Deering Oaks","24","100.0000","42602","Nitrogen dioxide (NO2)","38860","Portland-South Portland, ME","23","Maine","005","Cumberland","43.660246","-70.268965"
"02/23/2020","AQS","230050029","1","38.1","ppb","36","PDO - Portland Deering Oaks","24","100.0000","42602","Nitrogen dioxide (NO2)","38860","Portland-South Portland, ME","23","Maine","005","Cumberland","43.660246","-70.268965"
"02/25/2020","AQS","230050029","1","37.9","ppb","35","PDO - Portland Deering Oaks","24","100.0000","42602","Nitrogen dioxide (NO2)","38860","Portland-South Portland, ME","23","Maine","005","Cumberland","43.660246","-70.268965"
"02/26/2020","AQS","230050029","1","28.2","ppb","26","PDO - Portland Deering Oaks","24","100.0000","42602","Nitrogen dioxide (NO2)","38860","Portland-South Portland, ME","23","Maine","005","Cumberland","43.660246","-70.268965"
"02/27/2020","AQS","230050029","1","4.2","ppb","4","PDO - Portland Deering Oaks","23","96.0000","42602","Nitrogen dioxide (NO2)","38860","Portland-South Portland, ME","23","Maine","005","Cumberland","43.660246","-70.268965"
"02/28/2020","AQS","230050029","1","7.7","ppb","7","PDO - Portland Deering Oaks","24","100.0000","42602","Nitrogen dioxide (NO2)","38860","Portland-South Portland, ME","23","Maine","005","Cumberland","43.660246","-70.268965"
"02/29/2020","AQS","230050029","1","6.5","ppb","6","PDO - Portland Deering Oaks","24","100.0000","42602","Nitrogen dioxide (NO2)","38860","Portland-South Portland, ME","23","Maine","005","Cumberland","43.660246","-70.268965"
"03/01/2020","AQS","230050029","1","8.2","ppb","8","PDO - Portland Deering Oaks","24","100.0000","42602","Nitrogen dioxide (NO2)","38860","Portland-South Portland, ME","23","Maine","005","Cumberland","43.660246","-70.268965"
"03/02/2020","AQS","230050029","1","32.5","ppb","30","PDO - Portland Deering Oaks","20","83.0000","42602","Nitrogen dioxide (NO2)","38860","Portland-South Portland, ME","23","Maine","005","Cumberland","43.660246","-70.268965"
"03/03/2020","AQS","230050029","1","29.7","ppb","27","PDO - Portland Deering Oaks","24","100.0000","42602","Nitrogen dioxide (NO2)","38860","Portland-South Portland, ME","23","Maine","005","Cumberland","43.660246","-70.268965"
"03/04/2020","AQS","230050029","1","7.3","ppb","7","PDO - Portland Deering Oaks","20","83.0000","42602","Nitrogen dioxide (NO2)","38860","Portland-South Portland, ME","23","Maine","005","Cumberland","43.660246","-70.268965"
"03/05/2020","AQS","230050029","1","35","ppb","33","PDO - Portland Deering Oaks","24","100.0000","42602","Nitrogen dioxide (NO2)","38860","Portland-South Portland, ME","23","Maine","005","Cumberland","43.660246","-70.268965"
"03/06/2020","AQS","230050029","1","31.3","ppb","29","PDO - Portland Deering Oaks","24","100.0000","42602","Nitrogen dioxide (NO2)","38860","Portland-South Portland, ME","23","Maine","005","Cumberland","43.660246","-70.268965"
"03/07/2020","AQS","230050029","1","6","ppb","6","PDO - Portland Deering Oaks","24","100.0000","42602","Nitrogen dioxide (NO2)","38860","Portland-South Portland, ME","23","Maine","005","Cumberland","43.660246","-70.268965"
"03/08/2020","AQS","230050029","1","28","ppb","26","PDO - Portland Deering Oaks","24","100.0000","42602","Nitrogen dioxide (NO2)","38860","Portland-South Portland, ME","23","Maine","005","Cumberland","43.660246","-70.268965"
"03/09/2020","AQS","230050029","1","28.1","ppb","26","PDO - Portland Deering Oaks","24","100.0000","42602","Nitrogen dioxide (NO2)","38860","Portland-South Portland, ME","23","Maine","005","Cumberland","43.660246","-70.268965"
"03/10/2020","AQS","230050029","1","13.7","ppb","12","PDO - Portland Deering Oaks","24","100.0000","42602","Nitrogen dioxide (NO2)","38860","Portland-South Portland, ME","23","Maine","005","Cumberland","43.660246","-70.268965"
"03/11/2020","AQS","230050029","1","12.9","ppb","11","PDO - Portland Deering Oaks","24","100.0000","42602","Nitrogen dioxide (NO2)","38860","Portland-South Portland, ME","23","Maine","005","Cumberland","43.660246","-70.268965"
"03/12/2020","AQS","230050029","1","6.7","ppb","6","PDO - Portland Deering Oaks","24","100.0000","42602","Nitrogen dioxide (NO2)","38860","Portland-South Portland, ME","23","Maine","005","Cumberland","43.660246","-70.268965"
"03/13/2020","AQS","230050029","1","5.7","ppb","5","PDO - Portland Deering Oaks","24","100.0000","42602","Nitrogen dioxide (NO2)","38860","Portland-South Portland, ME","23","Maine","005","Cumberland","43.660246","-70.268965"
"03/14/2020","AQS","230050029","1","3.9","ppb","3","PDO - Portland Deering Oaks","24","100.0000","42602","Nitrogen dioxide (NO2)","38860","Portland-South Portland, ME","23","Maine","005","Cumberland","43.660246","-70.268965"
"03/15/2020","AQS","230050029","1","3.2","ppb","3","PDO - Portland Deering Oaks","24","100.0000","42602","Nitrogen dioxide (NO2)","38860","Portland-South Portland, ME","23","Maine","005","Cumberland","43.660246","-70.268965"
"03/16/2020","AQS","230050029","1","5","ppb","5","PDO - Portland Deering Oaks","21","88.0000","42602","Nitrogen dioxide (NO2)","38860","Portland-South Portland, ME","23","Maine","005","Cumberland","43.660246","-70.268965"
"03/17/2020","AQS","230050029","1","16.8","ppb","15","PDO - Portland Deering Oaks","24","100.0000","42602","Nitrogen dioxide (NO2)","38860","Portland-South Portland, ME","23","Maine","005","Cumberland","43.660246","-70.268965"
"03/18/2020","AQS","230050029","1","33.5","ppb","31","PDO - Portland Deering Oaks","24","100.0000","42602","Nitrogen dioxide (NO2)","38860","Portland-South Portland, ME","23","Maine","005","Cumberland","43.660246","-70.268965"
"03/19/2020","AQS","230050029","1","6.3","ppb","6","PDO - Portland Deering Oaks","24","100.0000","42602","Nitrogen dioxide (NO2)","38860","Portland-South Portland, ME","23","Maine","005","Cumberland","43.660246","-70.268965"
"03/20/2020","AQS","230050029","1","17.1","ppb","16","PDO - Portland Deering Oaks","24","100.0000","42602","Nitrogen dioxide (NO2)","38860","Portland-South Portland, ME","23","Maine","005","Cumberland","43.660246","-70.268965"
"03/21/2020","AQS","230050029","1","2.9","ppb","2","PDO - Portland Deering Oaks","24","100.0000","42602","Nitrogen dioxide (NO2)","38860","Portland-South Portland, ME","23","Maine","005","Cumberland","43.660246","-70.268965"
"03/22/2020","AQS","230050029","1","28","ppb","26","PDO - Portland Deering Oaks","24","100.0000","42602","Nitrogen dioxide (NO2)","38860","Portland-South Portland, ME","23","Maine","005","Cumberland","43.660246","-70.268965"
"03/23/2020","AQS","230050029","1","29.5","ppb","27","PDO - Portland Deering Oaks","24","100.0000","42602","Nitrogen dioxide (NO2)","38860","Portland-South Portland, ME","23","Maine","005","Cumberland","43.660246","-70.268965"
"03/24/2020","AQS","230050029","1","10.5","ppb","9","PDO - Portland Deering Oaks","23","96.0000","42602","Nitrogen dioxide (NO2)","38860","Portland-South Portland, ME","23","Maine","005","Cumberland","43.660246","-70.268965"
"03/25/2020","AQS","230050029","1","33.5","ppb","31","PDO - Portland Deering Oaks","23","96.0000","42602","Nitrogen dioxide (NO2)","38860","Portland-South Portland, ME","23","Maine","005","Cumberland","43.660246","-70.268965"
"03/26/2020","AQS","230050029","1","9.9","ppb","8","PDO - Portland Deering Oaks","24","100.0000","42602","Nitrogen dioxide (NO2)","38860","Portland-South Portland, ME","23","Maine","005","Cumberland","43.660246","-70.268965"
"03/27/2020","AQS","230050029","1","11.6","ppb","10","PDO - Portland Deering Oaks","24","100.0000","42602","Nitrogen dioxide (NO2)","38860","Portland-South Portland, ME","23","Maine","005","Cumberland","43.660246","-70.268965"
"03/28/2020","AQS","230050029","1","17.4","ppb","16","PDO - Portland Deering Oaks","24","100.0000","42602","Nitrogen dioxide (NO2)","38860","Portland-South Portland, ME","23","Maine","005","Cumberland","43.660246","-70.268965"
"03/29/2020","AQS","230050029","1","4.9","ppb","4","PDO - Portland Deering Oaks","24","100.0000","42602","Nitrogen dioxide (NO2)","38860","Portland-South Portland, ME","23","Maine","005","Cumberland","43.660246","-70.268965"
"03/30/2020","AQS","230050029","1","4.5","ppb","4","PDO - Portland Deering Oaks","19","79.0000","42602","Nitrogen dioxide (NO2)","38860","Portland-South Portland, ME","23","Maine","005","Cumberland","43.660246","-70.268965"
"03/31/2020","AQS","230050029","1","9.1","ppb","8","PDO - Portland Deering Oaks","24","100.0000","42602","Nitrogen dioxide (NO2)","38860","Portland-South Portland, ME","23","Maine","005","Cumberland","43.660246","-70.268965"
"01/01/2020","AQS","230112005","1","4.7","ppb","4","Gardiner, Pray Street School  (GPSS)","24","100.0000","42602","Nitrogen dioxide (NO2)","12300","Augusta-Waterville, ME","23","Maine","011","Kennebec","44.2306220009429","-69.785"
"01/02/2020","AQS","230112005","1","23.2","ppb","22","Gardiner, Pray Street School  (GPSS)","21","88.0000","42602","Nitrogen dioxide (NO2)","12300","Augusta-Waterville, ME","23","Maine","011","Kennebec","44.2306220009429","-69.785"
"01/03/2020","AQS","230112005","1","20.8","ppb","19","Gardiner, Pray Street School  (GPSS)","19","79.0000","42602","Nitrogen dioxide (NO2)","12300","Augusta-Waterville, ME","23","Maine","011","Kennebec","44.2306220009429","-69.785"
"01/04/2020","AQS","230112005","1","15","ppb","14","Gardiner, Pray Street School  (GPSS)","24","100.0000","42602","Nitrogen dioxide (NO2)","12300","Augusta-Waterville, ME","23","Maine","011","Kennebec","44.2306220009429","-69.785"
"01/05/2020","AQS","230112005","1","3.7","ppb","3","Gardiner, Pray Street School  (GPSS)","24","100.0000","42602","Nitrogen dioxide (NO2)","12300","Augusta-Waterville, ME","23","Maine","011","Kennebec","44.2306220009429","-69.785"
